order_book_id,board_type,sector_code,yield_rate,month,date,VOL5,VOL20,OBOS,RSI10,ACCER,SY,AROON_UP,AROON_DOWN
300537.XSHE,GEM,Materials,-0.0015940488841658107,220,2021-07-13,16.698213519051876,15.2004451547055,4.0,70.0381679389313,0.010816760285410601,66.66666666666666,85.71428571428571,28.57142857142857
600229.XSHG,MainBoard,ConsumerDiscretionary,-0.01983471074380172,220,2021-07-13,0.1870797936039982,0.171479514188615,0.0,61.07607340103331,0.002875094975410899,55.55555555555556,100.0,50.0
600390.XSHG,MainBoard,Financials,-0.005139461427271175,220,2021-07-13,0.32818847868171946,0.3375811602622715,-2.0,25.925925925926148,-0.0013657860404436071,33.33333333333333,14.285714285714285,85.71428571428571
002674.XSHE,MainBoard,ConsumerDiscretionary,0.050586510263929574,220,2021-07-13,2.9088163489359786,1.663630282944533,4.0,71.69117647058823,0.006860075408462417,66.66666666666666,78.57142857142857,7.142857142857142
300484.XSHE,GEM,Industrials,-0.015111695137976389,220,2021-07-13,14.057559601857697,13.645888138845038,2.0,57.61973875181423,0.01057505788123404,55.55555555555556,92.85714285714286,21.428571428571427
002616.XSHE,MainBoard,Utilities,-0.05578231292517,220,2021-07-13,3.1107493233855514,2.8742692563840833,-2.0,50.684931506849296,0.010058309037900844,44.44444444444444,100.0,57.14285714285714
603889.XSHG,MainBoard,ConsumerDiscretionary,0.047839506172839386,220,2021-07-13,1.7937546830325648,0.8083937565573984,2.0,86.50793650793652,0.018095972957084212,66.66666666666666,100.0,50.0
688590.XSHG,KSH,InformationTechnology,0.2727272727272727,220,2021-07-13,23.695269671127228,9.454693284486252,2.0,69.61307410707676,0.046339341224125356,55.55555555555556,85.71428571428571,50.0
600668.XSHG,MainBoard,Materials,-0.04295532646048106,220,2021-07-13,0.7399289383042185,0.7304270724982276,4.0,57.620003003899626,0.0013296416681430384,77.77777777777779,42.857142857142854,57.14285714285714
300348.XSHE,GEM,InformationTechnology,-0.05944055944055937,220,2021-07-13,1.5114773786942088,2.0792923108286323,-2.0,31.95020746887965,-0.003725441225441229,33.33333333333333,7.142857142857142,85.71428571428571
003816.XSHE,MainBoard,Utilities,-0.019157088122605304,220,2021-07-13,0.7729700335192174,0.6614356975336948,-4.0,66.81120475875363,0.00045869165205329374,33.33333333333333,21.428571428571427,85.71428571428571
603390.XSHG,MainBoard,ConsumerDiscretionary,-0.016177957532861442,220,2021-07-13,2.56145072905809,1.843541984344631,2.0,72.72727272727278,0.00634358900284075,55.55555555555556,100.0,50.0
300365.XSHE,GEM,InformationTechnology,-0.01421800947867291,220,2021-07-13,1.8521737333249941,2.013581535314162,2.0,59.39849624060153,0.004400812457684503,55.55555555555556,100.0,50.0
603668.XSHG,MainBoard,ConsumerStaples,-0.04330708661417326,220,2021-07-13,1.5471704387155034,1.3714661443444414,0.0,70.78651685393255,0.0026715410573677966,55.55555555555556,100.0,50.0
600388.XSHG,MainBoard,Industrials,-0.013468013468013629,220,2021-07-13,0.9679179194946116,0.5007156401870554,2.0,76.58224955539443,0.011223384725272253,66.66666666666666,78.57142857142857,57.14285714285714
603499.XSHG,MainBoard,Industrials,-0.021935483870967776,220,2021-07-13,0.3176805831610038,0.28794866743907216,0.0,60.00000000000003,0.004700460829493178,55.55555555555556,78.57142857142857,57.14285714285714
002371.XSHE,MainBoard,InformationTechnology,-0.02647449973711069,220,2021-07-13,1.7975067137130751,1.8894183206395465,2.0,76.26317059579553,0.028456207016780293,55.55555555555556,92.85714285714286,7.142857142857142
000739.XSHE,MainBoard,HealthCare,-0.0013518080432578516,220,2021-07-13,0.8434651230186259,0.964725095145665,-2.0,47.52851711026615,0.00876261285183208,44.44444444444444,28.57142857142857,7.142857142857142
688378.XSHG,KSH,Industrials,-0.0007045230379032486,220,2021-07-13,5.068553278812589,4.176172692498771,2.0,72.06736353077817,0.011027462978991834,55.55555555555556,92.85714285714286,42.857142857142854
600184.XSHG,MainBoard,Industrials,0.020541549953314586,220,2021-07-13,0.6831402148875354,0.8191075296620668,4.0,46.66666666666674,0.006080209861722496,66.66666666666666,7.142857142857142,50.0
300359.XSHE,GEM,InformationTechnology,-0.045584045584045496,220,2021-07-13,3.0040313217379704,3.511480724547871,0.0,73.0769230769231,-0.0019502102835435783,55.55555555555556,50.0,35.714285714285715
605016.XSHG,MainBoard,ConsumerStaples,,220,2021-07-13,5.672676729559748,8.486187893081762,-2.0,38.898163606009994,-0.006825912183055072,44.44444444444444,7.142857142857142,85.71428571428571
002867.XSHE,MainBoard,ConsumerDiscretionary,0.1928178346810423,220,2021-07-13,0.7071759336199789,1.0220705802783754,-8.0,4.694835680751235,-0.013088660878716038,11.11111111111111,35.714285714285715,7.142857142857142
000505.XSHE,MainBoard,RealEstate,0.0028328611898018607,220,2021-07-13,0.6956289338863484,0.6758050428229228,-2.0,35.71428571428567,-0.0013827060569270085,44.44444444444444,28.57142857142857,85.71428571428571
600829.XSHG,MainBoard,ConsumerStaples,0.0017421602787455193,220,2021-07-13,0.16773356210693,0.2329003030904572,2.0,31.11111111111109,-0.0036295005807202105,55.55555555555556,21.428571428571427,85.71428571428571
002246.XSHE,MainBoard,Materials,0.019283746556473913,220,2021-07-13,0.47946347074661333,0.5835038183773876,6.0,57.17558742813643,0.00651629460378299,77.77777777777779,7.142857142857142,50.0
002839.XSHE,MainBoard,Financials,0.05293005671077511,220,2021-07-13,1.0737682226192387,0.9346513283671313,-2.0,47.23987126212373,-0.0011173146667580439,44.44444444444444,14.285714285714285,50.0
600215.XSHG,MainBoard,RealEstate,-0.013043478260869712,220,2021-07-13,1.3704512248682288,1.909365150696441,-2.0,22.5296442687747,0.003881987577639849,44.44444444444444,28.57142857142857,71.42857142857143
600277.XSHG,MainBoard,Materials,0.024520715157607453,220,2021-07-13,1.751373815799288,1.2289967603815646,2.0,78.18181818181812,0.016673154275334067,55.55555555555556,100.0,57.14285714285714
000020.XSHE,MainBoard,InformationTechnology,0.06639427987742597,220,2021-07-13,0.5047016954800159,0.7422423193401217,0.0,54.4642857142857,0.001179532078408516,44.44444444444444,7.142857142857142,50.0
300154.XSHE,GEM,Industrials,-0.042232277526395245,220,2021-07-13,1.5647011541699656,1.6062655147245148,4.0,66.37931034482756,0.010037348272642344,66.66666666666666,100.0,50.0
600630.XSHG,MainBoard,ConsumerDiscretionary,-0.10247933884297522,220,2021-07-13,2.0549754700470135,2.8672322789390634,2.0,54.91803278688525,0.004191263282172476,66.66666666666666,7.142857142857142,85.71428571428571
603657.XSHG,MainBoard,ConsumerDiscretionary,-0.05704157267160814,220,2021-07-13,10.051179538365565,12.51007111665627,-2.0,57.58853288364249,-0.020195509721774578,33.33333333333333,50.0,7.142857142857142
002455.XSHE,MainBoard,Materials,-0.013806706114398493,220,2021-07-13,17.52647209378271,10.19315861215693,4.0,77.70114942528737,0.03208650324034944,66.66666666666666,100.0,7.142857142857142
300227.XSHE,GEM,InformationTechnology,-0.02854230377166167,220,2021-07-13,2.609899357241283,3.747972496343404,2.0,53.333333333333336,0.004332313965341411,55.55555555555556,14.285714285714285,50.0
600746.XSHG,MainBoard,Materials,0.02639751552795011,220,2021-07-13,6.589359912624207,4.878980716778257,0.0,76.66666666666664,0.030033027703835168,55.55555555555556,100.0,78.57142857142857
688012.XSHG,KSH,InformationTechnology,-0.08851190476190474,220,2021-07-13,5.5517057311571785,5.039619985995662,0.0,55.26089202686415,0.017356150793650812,44.44444444444444,92.85714285714286,50.0
688682.XSHG,KSH,InformationTechnology,,220,2021-07-13,19.262653389943697,17.56680789629959,2.0,66.31698965147328,0.014661531051371095,66.66666666666666,64.28571428571429,7.142857142857142
300217.XSHE,GEM,ConsumerDiscretionary,0.03296703296703285,220,2021-07-13,11.500516698218496,6.659821055453344,6.0,69.72477064220183,0.02456174777603356,77.77777777777779,78.57142857142857,50.0
300668.XSHE,GEM,Industrials,-0.059167275383491535,220,2021-07-13,2.4433990806873322,3.778656709565262,4.0,62.65533537238991,0.003434902083550772,66.66666666666666,71.42857142857143,50.0
605222.XSHG,MainBoard,InformationTechnology,0.02067307692307696,220,2021-07-13,4.8510016,3.6686628999999997,0.0,54.005167958656365,0.009684065934065976,55.55555555555556,64.28571428571429,57.14285714285714
002381.XSHE,MainBoard,ConsumerDiscretionary,0.018050541516245522,220,2021-07-13,1.1884161953284302,0.9035448592665914,-2.0,55.55555555555559,0.003008423586040947,44.44444444444444,100.0,85.71428571428571
002199.XSHE,MainBoard,InformationTechnology,-0.034482758620689724,220,2021-07-13,5.309423487645,3.0086846675900856,4.0,76.15658362989325,0.027589037993318546,66.66666666666666,92.85714285714286,50.0
